Word	Annotation	SentenceBit	BoS	EoS
everyone	0	. Everyone have	False	False
hospital	0	Heartlands Hospital Birmingham	False	False
honestly	0	can honestly say	False	False
continue	0	will continue on	False	False
fighting	0	us fighting GIST	False	False
insomnia	0	the insomnia that	False	False
irritate	0	may irritate him	False	False
contract	0	month contract but	False	False
resisted	0	has resisted Gleevec	False	False
activity	0	) activity seem	False	False
referral	0	a referral.	False	False
response	0	your response?	False	False
facebook	0	Facebook We	True	False
schedule	0	probably schedule a	False	False
indolent	0	more indolent when	False	False
recently	0	and recently my	False	False
whatever	0	So whatever we	False	False
everyone	0	and everyone else	False	False
clinical	0	into clinical trials	False	False
stivarga	0	Wilhelmsen stivarga tonight	False	False
existing	0	an existing patient	False	False
patients	0	cancer patients under	False	False
positive	0	GIST positive results	False	False
invasive	0	minimally invasive with	False	False
journeys	0	beginning journeys with	False	False
votrient	0	, Votrient ,	False	False
epidural	0	an epidural and	False	False
positive	0	GIST positive results	False	False
emailing	0	After emailing with	False	False
imatinib	0	called imatinib (	False	False
possible	0	despite possible seeding	False	False
purchase	0	I purchase mine	False	False
flawless	0	all flawless individuals	False	False
research	0	much research I	False	False
hospital	0	Heartlands Hospital Birmingham	False	False
referral	0	book referral.	False	False
problems	0	get problems because	False	False
discover	0	) discover that	False	False
metastes	0	nodules metastes on	False	False
diminish	0	greatly diminish over	False	False
worrying	0	and worrying and	False	False
tomorrow	0	So tomorrow the	False	False
facebook	0	using Facebook.	False	False
peaceful	0	and peaceful.	False	False
believed	0	as believed ,	False	False
possible	0	been possible in	False	False
positive	0	on positive thoughts	False	False
parents	0	their parents.	False	False
regular	0	. Regular moisturizer	False	False
results	0	the results of	False	False
seidman	0	at Seidman Cancer	False	False
willing	0	be willing to	False	False
stromal	0	gastrointestinal stromal tumor	False	False
surgery	0	second surgery removed	False	False
curious	0	. Curious as	False	False
praying	0	Praying for	True	False
welcome	0	say welcome to	False	False
surgery	0	after surgery that	False	False
surgery	0	his surgery.	False	False
surgery	0	GIST surgery but	False	False
beverly	0	Yes thank you Beverly	True	True
results	0	laboratory results look	False	False
knowing	0	really knowing?	False	False
florida	0	to Florida in	False	False
looking	0	were looking at	False	False
gastric	0	a gastric location	False	False
cousins	0	Aussie cousins!	False	False
emailed	0	have emailed my	False	False
doctors	0	no doctors order	False	False
nothing	0	than nothing but	False	False
getting	0	am getting a	False	False
general	0	in general it	False	False
through	0	way through ,	False	False
surgery	0	to surgery or	False	False
ordered	0	she ordered me	False	False
problem	0	another problem that	False	False
waiting	0	is waiting also	False	False
problem	0	a problem giving	False	False
glasses	0	3 glasses of	False	False
gleevec	0	of Gleevec!	False	False
disease	0	of disease!	False	False
evening	0	the evening ,	False	False
records	0	the records department	False	False
marsden	0	Royal Marsden Hospital	False	False
upwards	0	dose upwards.	False	False
spinach	0	of spinach ,	False	False
stomach	0	her stomach pressing	False	False
elevate	0	can elevate my	False	False
removal	0	Complete removal in	False	False
sending	0	sending prayers	True	False
current	0	your current tumors	False	False
hardest	0	are hardest.	False	False
another	0	in another post	False	False
gleevec	0	son Gleevec ,	False	False
awesome	0	is awesome ,	False	False
helping	0	blessing helping supporting	False	False
hobbies	0	energetic hobbies besides	False	False
cleaner	0	a cleaner or	False	False
private	0	were private but	False	False
opinion	0	second opinion.	False	False
suppose	0	was suppose to	False	False
gleevec	0	the gleevec works	False	False
tablets	0	2 tablets.	False	False
fatigue	0	my fatigue and	False	False
surgery	0	had surgery in	False	False
effects	0	side effects than	False	False
gleevec	0	When Gleevec was	False	False
western	0	) Western Park	False	False
miracle	0	a miracle full	False	False
josephs	0	St. Josephs.	False	False
surgery	0	last surgery.	False	False
deserve	0	we deserve it	False	False
surgery	0	had surgery ,	False	False
surgery	0	after surgery.	False	False
through	0	go through the	False	False
however	0	, however.	False	False
mitotic	0	The mitotic rate	False	False
gleevec	0	the Gleevec?	False	False
results	0	biopsy results after	False	False
website	0	mercola website as	False	False
praying	0	. Praying for	False	False
general	0	in general.	False	False
wishing	0	wishing you	True	False
trouble	0	have trouble FALLING	False	False
results	0	see results of	False	False
quinine	0	one quinine sulfate	False	False
muscles	0	some muscles back	False	False
removed	0	that removed tumors	False	False
opinion	0	second opinion after	False	False
journey	0	cancer journey.	False	False
freeman	0	Ranson Freeman Hospital	False	False
lesions	0	had lesions on	False	False
studies	0	Many studies indicate	False	False
mishaps	0	DNA mishaps could	False	False
gleevec	0	if Gleevec has	False	False
gleevec	0	and Gleevec is	False	False
finally	0	i finally gave	False	False
already	0	am already a	False	False
tuesday	0	new Tuesday from	False	False
reports	0	path reports.	False	False
suburbs	0	SE suburbs of	False	False
student	0	on student after	False	False
phoenix	0	in Phoenix ,	False	False
surgeon	0	( surgeon )	False	False
twisted	0	( twisted bowel	False	False
results	0	positive results.	False	False
success	0	had success?	False	False
keeping	0	still keeping her	False	False
gleevec	0	mg Gleevec is	False	False
perhaps	0	. Perhaps it	False	False
amazing	0	an amazing gift	False	False
disease	0	their disease.	False	False
gleevec	0	from gleevec.	False	False
removed	0	it removed when	False	False
patient	0	a patient of	False	False
already	0	the already rare	False	False
through	0	, through ,	False	False
without	0	here without it	False	False
brought	0	has brought on	False	False
massive	0	2014 massive recurrence	False	False
because	0	not because much	False	False
screens	0	the screens when	False	False
present	0	receptor present or	False	False
sarcoma	0	the sarcoma staff	False	False
meeting	0	the meeting with	False	False
actions	0	his actions and	False	False
working	0	was working but	False	False
because	0	tablets because I	False	False
members	0	all members of	False	False
doctors	0	by doctors orders.The	False	False
surgery	0	my surgery is	False	False
through	0	sit through that	False	False
alcohol	0	stomach alcohol!	False	False
surgery	0	had surgery immediately	False	False
working	0	been working with	False	False
answers	0	any answers there	False	False
gleevec	0	400mg gleevec ,	False	False
african	0	an African American	False	False
spotted	0	I spotted donnas	False	False
nothing	0	near nothing!	False	False
courage	0	Courage is	True	False
pleased	0	very pleased with	False	False
thought	0	Just thought I	False	False
because	0	masitinib because a	False	False
evening	0	the evening ,	False	False
