	id	sent	Mistake	Correction	Split	Label_type	Relevant text extraction
0	lexapro.13_4	Can hardly even read and feel like I'm in a fog or that I'am stoned.	I'am	im	0	ADR	feel like I'am stoned
1	lexapro.43_8	Took Fri afternoon, nauseous and dizzy immediately, spaced out, went to bed for 2 hrs, got up, couldn't even make dinner, stumbling/spacy.	spacy	spacey	0	ADR	spacy
2	zoloft.194_2	When 1st started I would sweat alot.	alot	a lot	1	ADR	sweat a lot
3	cymbalta.28_6	Started cying and laughing hysterically.	cying	crying	0	ADR	cying and laughing hysterically
4	cymbalta.35_2	Also feel like I'm in a cloud allthe time.	allthe	all the	1	ADR	in a cloud allthe time
5	cymbalta.79_2	Some bouts of suddent depression and anxiety while on it.	suddent	sudden	0	ADR	bouts of suddent depression
6	cymbalta.83_6	Exausted too!	exausted	exhausted	0	ADR	exausted
7	cymbalta.83_8	Yes, it did take the anxiety away, but it's making mased potatoes out of my brain.	mased	mashed	0	ADR	making mased potatoes out of my brain
8	cymbalta.84_2	I feel sluggish,unmotivated,and still have depression,aniexty and pain.	aniexty	anxiety	0	ADR	aniexty
9	cymbalta.90_3	Didn't cry at my own sister's funerall!	funerall	funeral	0	ADR	didn't cry at my own sister's funeral
10	cymbalta.92_4	I think Cymbalta has made me extremly angry at everyone and has made my obsessive thoughts worse!	extremly	extremely	0	ADR	extremly angry at everyone
11	cymbalta.96_1	weight gain (50+ pounds) high blood pressure skin problems tiny wounds would not heal for months, frequently developed into skin infections (e. g. from acne) immue system problems loss of interest in all activities loss of interest in relationships extreme fatigue wanted to sleep all the time could not feel happiness or joy continued to feel depression, have suicidal thoughts under stress .	immue	immune	0	ADR	immue system problems
12	cymbalta.113_2	Severe palpitatios and irregular heartbeat.	palpitatios	palpitations	0	ADR	severe palpitatios
13	cymbalta.112_4	since taking cymbalta i av gained 14lbs which i CANT loose no matter how hard i try,im also craving carbs & binge eating which iv neva done b4) i av also found that when training @ gym my joints r weaker & i av 2 wear supports.	r	are	0	ADR	joints r weaker
14	cymbalta.115_2	I am having strong flu like symtoms but I am coming off of effexor and that has always been hardcore.	symtoms	symptoms	0	ADR	strong flu like symtoms
15	cymbalta.127_2	I started on 30mg and went up to 60mg Couldn't tolerate 60mg, it rendered me completely sleepless and with matallic taste in my mouth.	matallic	metallic	0	ADR	matallic taste in mouth
16	cymbalta.180_1	Increased sweatiness, extremly oily skin and acne, weight gain, strange dreams, alternating insomnia and then fatigue, and constipation.	extremly	extremely	0	ADR	extremly oily skin
17	cymbalta.181_1	hot sweats, regular powerful muscle aches, loss of sexual libdo, 40 lbs weight gain.	libdo	libido	0	ADR	loss of sexual libdo
18	cymbalta.195_1	Dry mouth and weightloss.	weightloss	weight loss	1	ADR	weightloss
19	cymbalta.198_1	contipation, dry mouth. 	contipation	constipation	0	ADR	contipation
20	cymbalta.216_2	it caused some insominia, i also felt like i was haviing brain buzz and ringing in my ears.	insominia	insomnia	0	ADR	some insominia
21	cymbalta.217_1	VERy very slight twtch in my hand or arm sometimes.	twtch	twitch	0	ADR	slight twtch in my hand or arm sometimes
22	effexorxr.20_1	wight gain, water retention, vivd dreams/ nightmares, crying, shaking, brain tremors or shocks, ( iseriously do not know how to adequtly describe it but it is debilitating), leg twitching, arm twitching, blurred vision, eye strain, think things hapened that really din not!, believe dreams to be true the next day, crying, memory loss, confusion, my husband has no compassion to my withdrawal symptoms.	wight	weight	0	ADR	wight gain
23	effexorxr.29_2	I felt like as if i am watching my life from outside, unbearable pressure and headaches in the evening, non stop nausea, no appetite, hot flashes and shivering, clamsy hands, tingling on arms and legs,electric shocks, disorientated,loss of concious memory, nigtmares, fatigue, more depressed than ever,no sex drive,i felt like a zombie in hell.	disorientated	disoriented	0	ADR	disorientated
24	effexorxr.29_2	I felt like as if i am watching my life from outside, unbearable pressure and headaches in the evening, non stop nausea, no appetite, hot flashes and shivering, clamsy hands, tingling on arms and legs,electric shocks, disorientated,loss of concious memory, nigtmares, fatigue, more depressed than ever,no sex drive,i felt like a zombie in hell.	nigtmares	nightmares	0	ADR	nigtmares
25	effexorxr.46_1	loss of sex drive and ablity,dont care about anything.	ablity	ability	0	ADR	loss of sex ablity
26	zoloft.86_4	Other than that, nothing - until week 3 when I all of the sudden experienced moderate nause/vomiting and pretty good dizziness constantly.	nause	nausea	0	ADR	moderate nause
27	cymbalta.41_3	Not to mention the acid reflux, having bowel movements 5 times in the morning,abdominal cramping, couldent eat, no appetite.	couldent	couldnt	0	ADR	couldent eat
28	cymbalta.131_6	My libido also just did a disapperance act, which I simply couldn't handle.	disapperance	disappearance	0	ADR	libido did a disapperance act
29	cymbalta.145_1	"at start dry mouth& metallic tast; started clinching jaws which causes headache, tooth and gum pain & neck pain."	tast	taste	0	ADR	metallic tast
30	cymbalta.161_1	some fatigue, some brief episodes of heart fibrulation, decreased sex drive, slightly less appetite.	fibrulation	fibrillation	0	ADR	brief episodes of heart fibrulation
31	effexorxr.75_2	When I whent fron efexor xr 75 to 150 inmeditely i start feeling very warm in the stomag and sleppless in about three weeks after I en up in the emmergency room with 57 of hemoglobin concentration out of 135 they have to give me 4 bags of blood and I stayed there for three days, during those days I did not take the efexor but on the fourth day when I came out of the hospital I was feeling very dizzy so I took the efexor again with food in the morning and later I eat two kiwis and I felt so much pain in the ulcer caused by efexor that I had to drink a lot of milk to calm down the horrible pain.	sleppless	sleepless	0	ADR	sleppless
32	effexorxr.91_4	"BUT, hated the physical side effects, I took valerian (okayed by doctor) to offset the insomina - but weirdest was I realized only after I went off it how it affected my eating habits - I put on weight - around 10 lbs - in the 2.5 months on it - no impulse control and ""munchy"" syndrome - this was counterproductive as I had lost a lot and putting it on made me depressed!"	insomina	insomnia	0	ADR	insomina
33	effexorxr.78_6	My inability to think correctly lead me to get frusted when I tried to get work done, and also lead me to being more rash with decision making.	frusted	frustrated	0	ADR	Frusted when I tried to get work done
34	cymbalta.122_1	HUGE costipation, somnolence, loss of libido.	costipation	constipation	0	ADR	huge costipation
35	cymbalta.127_2	I started on 30mg and went up to 60mg Couldn't tolerate 60mg, it rendered me completely sleepless and with matallic taste in my mouth.	matallic	metallic	0	ADR	matallic taste in mouth
36	cymbalta.197_2	After trying all others, this drug has given me a sense of calm and feeling of contentedness that I never knew others lived with Unfortunately, I also experienced drastic wieght gain of 25 lbs within 6 months and it is still going.	wieght	weight	0	ADR	drastic wieght gain of 25 lbs
37	cymbalta.112_1	vivid dreams, clenching of the jaw, dry mouth, night sweats, interupted sleep, needing the toilet in the night, insomnia, weight gain, craving carbs, binge eating,weak joints, muscle tiredness, emotional numbness- feeling of not caring about anything or anyone,loss of labido,itching,excessive yawning and tiredness, short attention span.	labido	libido	0	ADR	loss of labido
38	effexorxr.53_4	Crying, brain zaps, nausea, vomiting, seious mood swings,ect.	seious	serious	0	ADR	seious mood swings
39	effexorxr.60_3	no desire to have sex, cannot orgasim, currently hurts to have sex.	orgasim	orgasm	0	ADR	cannot orgasim
40	effexorxr.64_2	At first it was ok, and then once i got on the 75 mg a day, it really changed, nausea feeling, hadache, no sex drive.	hadache	headache	0	ADR	hadache
41	effexorxr.75_2	When I whent fron efexor xr 75 to 150 inmeditely i start feeling very warm in the stomag and sleppless in about three weeks after I en up in the emmergency room with 57 of hemoglobin concentration out of 135 they have to give me 4 bags of blood and I stayed there for three days, during those days I did not take the efexor but on the fourth day when I came out of the hospital I was feeling very dizzy so I took the efexor again with food in the morning and later I eat two kiwis and I felt so much pain in the ulcer caused by efexor that I had to drink a lot of milk to calm down the horrible pain.	stomag	stomach	0	ADR	feeling very warm in the stomag
42	effexorxr.93_1	vivid nightmares, night sweats, loss of libido, other sexual dysfunctions, horrible withdrawel symptons, very little emotions regarding sinificant others, still have sleeping problems but i don't think effexor made it worse.	sinificant	significant	0	ADR	very little emotions regarding sinificant others
43	effexorxr.95_1	night sweats, insomnia but when I did fall asleep vivid dreams, teeth clenching, decreased motivation, irratibility.	irratibility	irritability	0	ADR	irratibility
44	effexorxr.97_1	Early on, naseau and sleeplessness.	naseau	nausea	0	ADR	naseau
45	effexorxr.98_1	weight gain mostly and i think my dose is too high, when i was first put on it it was just 75mg and i have gradually increased it to 300mg sometimes - now i think this high dose has caused me to have an excessive appetitte.	appetitte	appetite	0	ADR	excessive appetitte
46	effexorxr.107_5	But by the end of the day I'd b tired and easliy irritated.	easliy	easily	0	ADR	easliy irritated
47	effexorxr.135_1	Initially I had dizziness and some naseau.	naseau	nausea	0	ADR	some naseau
